2.004136	0.427821	2.906782	6.771958	0.628137	5.203357	1.026261	5.904073	1.813351	2.296290	4.611551	5.350076	2.828855	8.709183	2.735032	5.587222	5.281554	1.452777	7.892511	4.022772	8.252493	3.540841	6.320098	8.509621	
9.755609	9.369625	3.448384	4.519972	8.302650	6.963211	5.503530	0.056339	4.802010	1.040996	1.486157	5.188120	3.578730	6.115292	1.283537	3.199890	7.314448	5.579818	1.373937	1.356188	4.315234	2.585794	2.859788	5.364528	
0.393573	4.585574	5.681237	3.741579	3.676653	2.453225	8.420160	6.028355	9.173349	3.380437	6.895112	3.974718	5.562084	4.927678	6.384748	4.519307	2.800267	5.534977	4.515530	2.351419	8.660663	9.748357	0.633833	0.234570	
9.705754	4.198649	3.817509	0.641993	4.821718	2.188023	9.392064	9.437981	6.157627	8.542038	3.774851	3.781498	9.228604	4.299206	0.043103	6.485804	7.461594	1.223821	3.327025	8.581741	4.647023	5.241214	8.628554	3.592527	
1.332453	8.127905	3.988130	8.876242	9.647735	0.053531	8.177972	0.784753	9.337784	7.791949	2.316848	6.620259	5.925938	0.971151	4.152104	4.823997	8.025241	6.948384	5.150535	9.063089	8.647312	8.272708	2.139989	6.469733	
1.155784	7.841226	7.832715	7.446070	8.492859	2.919779	4.861478	7.855207	4.494542	9.892879	3.363254	5.915521	2.424695	1.795019	4.646506	6.491054	5.750608	2.434114	2.905075	1.775147	1.852590	4.365011	0.526501	3.000664	
2.892253	2.932719	2.390824	1.745443	6.183036	8.373350	7.911214	9.908504	8.088724	5.422235	5.849782	0.704933	9.900276	3.229942	5.862009	8.682049	9.325920	1.094467	9.548352	9.802724	4.828492	4.279520	2.830267	8.767140	
9.071442	6.221015	8.176669	7.906710	1.783873	4.930442	2.931575	9.917505	1.722799	6.769158	2.118745	5.453076	7.494813	5.941703	9.662982	7.174467	1.521866	9.549481	8.720054	9.372118	0.718794	6.077561	4.101343	6.908914	
3.882659	8.039219	0.715980	0.950640	8.901707	8.137102	2.044063	0.711733	2.548539	3.910027	4.119748	5.586532	7.943730	6.604275	4.930989	3.753759	7.303192	5.628760	7.130274	1.151000	8.313624	5.771702	4.627790	4.390028	
0.235272	1.999853	3.135068	7.352062	9.000676	2.691206	4.520620	8.622289	9.232895	9.019757	0.679136	4.321541	3.274601	9.037410	2.931296	5.447809	7.009771	3.030877	7.964724	3.107456	2.514392	3.201154	4.052088	6.168167	
3.632205	4.575892	6.327915	9.199053	4.564840	3.937570	9.480410	1.326717	7.502808	0.219929	0.320981	4.698237	7.849673	1.860694	1.479478	2.064591	3.334241	0.267587	7.281264	5.202808	4.180459	5.662437	5.804033	2.981484	
1.782165	4.090594	0.052992	6.721550	6.937377	7.095141	9.530103	7.981104	1.424440	0.099643	8.263274	5.019588	1.814738	2.916030	4.329331	4.889128	9.449923	9.621044	3.502541	2.971227	2.833141	7.779438	2.215982	2.345103	
