1.098088	2.938973	0.418102	1.096762	8.507859	6.099263	8.937672	7.785936	5.061377	7.947466	2.846875	4.501148	1.167244	0.910670	3.134071	3.910778	5.288847	8.854311	4.283673	1.792295	9.307832	4.498843	4.397020	4.996292	7.833532	4.091218	8.046077	2.031876	4.810291	8.273292	9.626311	5.196017	
2.538362	2.573429	1.990609	6.718203	9.194316	0.193317	9.699509	2.712009	9.066221	9.686422	8.390043	8.363972	6.193571	3.413079	2.113059	5.690548	5.437302	9.893530	1.550952	1.698243	9.968592	6.443677	1.106121	5.084983	4.880341	7.491815	7.753657	0.223320	4.557031	9.588260	5.505043	7.508008	
3.510401	1.123286	3.784355	4.719082	9.677060	3.457171	7.963075	3.433292	5.080103	5.032663	7.060448	7.107514	0.136195	2.955768	4.403235	2.920241	7.316624	2.172207	0.052331	8.966420	9.480209	8.011947	2.704534	2.902159	0.455407	7.963275	1.919033	7.405673	0.763723	7.260614	7.205790	4.901508	
5.687130	5.646085	5.373707	9.516637	0.782744	4.223705	7.655522	0.253521	4.224780	8.176616	7.358761	8.608216	1.195799	5.111090	5.912115	4.937197	5.560189	2.925849	6.304718	3.288850	6.259433	5.096837	2.993787	2.988173	1.625833	7.596240	3.378152	3.131158	1.703336	9.378574	8.791199	0.775291	
8.482747	2.507481	3.734302	4.771978	2.122129	9.941614	2.321765	0.103021	1.620976	8.165793	7.901771	8.152325	1.692655	0.816795	5.879730	5.961231	0.533858	2.944799	6.012418	1.319989	4.937551	8.102991	1.658362	5.165153	7.414620	6.430653	2.588872	4.511915	8.989414	5.403952	0.366885	6.140759	
2.018941	8.449393	9.354062	5.978750	3.524360	1.963601	1.202049	1.492373	1.381405	9.048157	4.908005	6.649951	8.670791	0.798569	8.147084	6.268838	9.747138	3.824687	4.219868	2.507262	9.851279	3.188453	9.337939	7.511219	4.386345	8.517687	6.740649	5.377907	9.945950	1.438966	2.247612	4.998699	
1.427805	9.663073	2.199768	3.137822	4.381536	0.628742	8.979482	6.308145	8.180248	4.549484	6.843284	8.381523	2.525422	5.625223	4.878477	1.503725	4.865528	5.793008	3.747220	6.657458	5.172981	1.918916	6.674798	4.844815	0.727028	2.562644	1.056720	5.774938	7.936607	3.980387	9.669453	0.269833	
4.433705	9.099678	7.879238	9.141294	4.245050	4.779433	6.881402	5.330437	9.243486	9.876570	7.633706	6.115169	0.249732	7.028037	9.630271	3.050744	6.579326	9.499103	7.454040	7.508680	9.300610	5.756796	6.783044	4.524865	5.893699	5.134984	6.281332	1.549627	2.678458	6.701822	6.475257	5.185660	
4.189762	5.601821	3.259933	7.384564	2.087069	4.630204	8.342098	5.312653	2.084074	2.492743	0.705734	3.091632	4.124005	5.519473	2.505008	8.346864	6.897128	4.749328	3.053728	9.612014	9.182268	0.980770	5.541467	7.623363	8.662069	5.034537	8.200701	3.670448	5.696702	8.049075	4.279284	4.275718	
8.254962	4.815437	4.894906	6.534948	4.594314	8.961165	3.497791	3.418846	1.074165	7.397851	3.576049	7.292555	3.097121	0.797658	4.146082	2.434747	7.042141	5.677724	6.818107	5.421134	1.123590	2.446722	8.068699	6.274072	6.877233	3.330807	0.759586	1.650909	6.196264	4.772808	2.805641	5.879733	
