0.054862	9.927658	8.959788	0.837883	9.862849	3.594665	6.914950	5.246948	3.433766	8.156430	4.268495	0.593335	6.447967	1.633986	4.964580	4.845694	9.379751	0.165018	
5.013543	5.152698	3.136311	3.590692	5.369192	1.042600	3.010719	4.335234	0.104816	1.571741	8.821297	7.423871	9.320416	1.944639	0.319316	1.836888	9.862554	8.872756	
8.820307	4.000057	6.674010	6.721917	7.281568	4.576465	9.298662	3.060241	3.874013	4.668323	1.350481	0.315611	6.687942	5.863426	1.842904	8.391359	7.447189	0.261753	
4.029044	1.039711	8.249703	6.766482	5.725875	8.369217	6.169138	2.823126	6.011295	8.186788	9.400351	7.675087	5.577162	6.865393	4.253725	9.290779	4.296266	6.151800	
2.827851	4.044616	5.657481	1.536450	0.879569	6.517300	7.540194	1.489005	9.704382	0.746152	8.428893	4.620857	1.465537	9.074474	8.874244	6.792664	6.759425	3.316435	
5.705642	0.313662	1.678368	1.089369	2.103896	5.880107	3.226255	5.253693	4.030694	0.403300	4.018662	3.780260	2.662267	1.804208	5.121056	9.618531	6.984964	8.922974	
2.568425	0.024964	8.852815	5.765022	7.911486	5.508689	3.202746	1.139571	1.924407	2.478217	1.812144	2.449864	6.376734	2.970505	7.390629	1.356153	1.050553	5.589179	
7.277088	5.862881	6.989818	6.687923	6.206345	1.906648	3.156491	2.790445	2.489097	6.206230	5.970991	2.559222	6.023429	1.044099	5.763117	0.675216	1.604990	5.090367	
6.231971	7.145096	0.768853	1.607120	3.099119	0.452135	7.385349	5.275654	9.291521	9.514083	4.617510	6.236450	7.464147	2.109376	4.825630	4.490113	5.642522	7.818183	
1.117328	0.027219	9.136754	8.609538	8.290695	6.724704	8.889292	4.421580	1.174467	4.222265	8.341585	2.388003	8.763477	1.078360	9.372557	2.880201	7.447148	4.491523	
0.212770	9.572679	1.751121	4.134194	1.395865	4.296513	3.341519	9.410772	7.042789	3.008385	1.014928	8.692912	1.230873	4.452874	8.803700	0.203664	3.377476	3.669005	
5.765204	6.264951	0.741417	6.353789	5.847252	4.972756	1.097581	9.573428	3.757698	7.523174	8.494236	5.179580	9.560186	2.241724	2.116837	9.845408	8.999557	7.123013	
5.429933	2.160276	4.857245	6.176940	5.500932	7.754656	1.904488	0.144192	1.520745	2.720160	4.341218	1.650188	5.645558	5.861328	7.535268	8.455057	1.046171	7.109379	
1.804968	8.211170	3.079810	7.468604	2.147008	1.996341	4.810389	6.102019	3.940114	7.204141	8.099739	7.475045	7.393324	8.799814	0.336549	8.961331	5.086297	6.128199	
4.186610	3.955505	1.299592	8.797129	9.878291	2.484866	1.098616	3.497868	0.762901	2.371749	3.078844	2.000440	4.391645	3.370204	7.049540	7.324817	4.320088	6.630370	
6.944692	1.066945	3.590925	7.739717	7.643292	1.775228	0.076713	0.665702	5.137824	3.274583	5.935436	7.456567	4.848864	8.366863	8.549174	1.951450	9.621501	8.102993	
3.341842	7.337222	4.666386	4.470622	4.781338	9.716581	5.748457	0.208882	8.440889	4.322775	4.491032	8.043223	0.451844	9.085774	3.425569	9.426480	0.452123	2.248538	
8.151254	0.857408	6.337115	8.121287	1.212334	9.724916	2.928029	7.866664	9.702919	3.031431	6.594892	2.894767	0.345268	2.653137	9.589536	5.858260	9.869305	4.348532	

88.650906
