2.054038	3.099969	4.059996	1.900784	3.392800	1.057437	3.598822	0.397628	3.638466	4.266936	3.978403	8.532070	9.717374	5.846547	7.586125	2.416609	2.185805	6.844709	0.391207	2.431079	8.145174	1.026452	2.556080	7.643611	6.021824	0.238855	1.650187	9.885437	1.977137	6.196786	2.284664	7.787563	4.933889	7.711655	9.654345	
3.847355	2.686608	2.660007	9.905283	0.797496	9.430722	0.582733	4.106051	4.299535	8.940485	3.004398	3.035650	1.020953	6.080825	4.643335	0.389010	6.878883	0.960436	1.896199	3.638708	5.277646	9.240013	8.489276	3.315424	9.671213	5.251899	6.644985	8.831059	3.528105	3.015742	8.006492	8.960061	2.998579	2.132563	3.598211	
0.572310	5.439294	6.679370	2.680126	0.146636	8.824040	9.403783	3.139988	8.351645	2.107226	4.516148	3.618347	0.028128	3.378149	4.569542	3.124616	8.718957	9.465287	8.230673	1.794813	6.870387	2.250176	0.185564	6.720637	3.960269	8.317196	9.289892	4.259430	5.458466	3.372855	7.367064	3.105826	6.731781	9.287226	2.160325	
7.716276	1.231796	3.600730	5.132930	4.263436	9.687617	1.121270	1.612676	9.476691	3.980445	1.892920	5.362353	0.756236	6.735619	8.125189	6.998651	8.880177	4.104926	3.161747	8.117459	3.782249	2.612922	3.102475	8.700738	9.275136	0.027781	4.675491	1.209022	1.162836	8.367587	5.414623	1.682972	0.394619	7.438033	4.359363	
8.587387	7.790922	5.686165	0.894329	8.878814	1.132360	7.583139	4.315967	3.511331	7.348566	8.321679	4.453672	1.606695	3.353670	2.614751	1.697365	5.699172	9.301256	1.819983	1.880582	6.611698	7.845962	7.951123	8.646396	5.956039	4.168192	6.056636	6.679099	5.298665	6.051072	4.574191	4.482051	0.295805	8.769763	3.370309	
9.807266	6.430443	9.716277	2.205353	1.716464	5.597586	9.546068	6.269323	5.266510	5.697072	3.552269	6.982551	4.380157	4.998437	4.824939	2.097583	1.773076	2.716981	4.527774	9.871183	3.091281	5.452911	4.205049	1.926201	5.069767	4.993508	5.654856	1.898984	3.284701	8.887743	8.925349	7.787225	3.989575	9.932782	3.466721	
4.781045	6.099268	0.433044	9.008469	5.668323	4.321727	0.584614	2.661242	5.339751	6.779086	0.179997	1.929875	5.706214	8.293775	3.847426	4.187958	4.706590	0.197816	4.194930	5.914021	6.435222	2.543858	8.297943	6.564311	8.608689	0.387538	5.355161	2.017662	5.518215	3.281702	9.086540	5.455134	2.174262	3.590082	0.660983	
3.900162	3.327635	4.060079	7.187024	6.515358	4.519265	3.836508	1.980736	9.305054	2.978080	3.997997	3.512269	2.862152	9.223610	5.824978	0.288426	2.613693	5.683889	1.020143	5.563285	7.440089	3.733365	9.801085	9.716553	2.932388	3.678964	2.228211	5.814496	6.414802	8.652958	2.658383	4.691865	7.241680	9.821490	1.912602	
9.068780	2.187979	6.353162	9.354866	2.666496	6.053431	3.364450	6.760792	2.831752	4.864388	1.431304	2.009967	4.122751	7.924240	8.884643	1.698754	0.638210	9.996282	8.237698	7.947342	1.520284	0.438183	1.292637	4.042665	5.668379	3.948639	5.398078	1.025273	3.078037	9.799217	5.974919	3.273709	7.647684	8.841413	9.191920	
1.773547	3.115996	0.503595	4.875363	9.296802	5.003698	3.209149	8.028613	7.230352	2.790503	6.895918	9.098779	6.260762	6.256919	7.946560	3.878436	0.721262	0.428646	3.673916	9.531116	2.232391	7.837603	3.050590	7.914233	4.913308	8.116947	8.514131	9.310297	8.202580	7.770459	1.794066	0.847048	5.720741	5.975992	3.003396	
4.182599	5.143151	1.483365	3.391891	0.984667	8.588688	5.601826	6.761543	6.350149	3.993588	3.948953	0.291554	5.613612	0.299104	7.317451	6.156774	6.329017	5.782642	1.061140	0.939281	6.362849	7.805971	1.313316	3.837611	0.476183	8.466865	3.071640	5.006635	5.106963	4.710626	6.423667	0.253437	1.798582	2.593268	6.964643	
