2.487985	7.028118	2.957192	4.624055	3.714874	3.676365	0.216162	3.032262	6.410469	0.421347	
0.178340	9.238493	6.543485	0.613432	7.865611	0.421487	2.307801	8.485197	7.562967	4.423940	
6.534549	3.903769	3.702207	4.527282	4.234625	6.062031	3.386761	3.942895	3.983559	7.783069	
6.639324	9.961194	5.608873	3.028298	1.053056	7.607870	4.367532	3.540778	2.960806	6.354422	
6.197580	9.551121	7.789588	0.532132	3.190080	8.475683	4.309138	9.832498	8.868045	7.880574	
8.837750	4.445123	4.630739	7.086138	0.513927	4.491524	6.989846	4.611167	9.399310	6.793679	
9.535034	0.789944	7.778351	8.367510	8.212307	8.036977	7.205589	7.165238	6.560089	7.024911	
7.777519	4.162905	6.076389	2.537810	0.091012	0.880663	8.437915	0.816305	1.707531	1.299999	
8.966816	1.717796	5.305178	9.161614	8.159785	7.519515	9.993926	9.235723	9.563661	2.054318	
6.738644	4.827426	8.156282	5.645859	9.286333	1.135783	2.210147	0.185705	5.088362	0.788653	

52.445081
