5.815713	8.602101	7.076187	7.565661	3.075415	8.862844	8.916493	6.696830	9.258210	9.784054	2.995558	1.652341	4.580628	
6.539796	0.256952	5.363373	0.857734	6.794058	8.061207	1.521138	8.264231	6.236015	3.808235	0.591319	2.037082	7.276600	
2.808399	8.662431	5.196882	0.371981	9.940376	0.966530	0.020421	4.740007	5.148825	2.702547	4.096319	2.269272	3.670197	
4.282034	3.746562	6.496950	4.790991	5.486951	8.937611	9.142389	4.918280	3.230595	2.998121	5.903262	0.896392	2.105860	
1.818516	0.921079	7.146532	3.089800	2.766752	9.337785	8.951806	2.267752	2.368594	4.530537	3.043944	3.478242	0.191849	
8.613277	0.946407	1.711567	1.162365	8.319318	6.597570	6.008040	9.792832	0.671082	8.904814	7.590490	6.152647	4.074801	
8.210377	6.879239	0.057238	5.741783	7.255278	1.376086	9.159096	5.729281	0.937432	3.432438	9.471164	4.052134	8.572602	
9.926219	3.523762	7.065733	6.788328	2.750726	5.516458	9.544400	5.385987	1.799566	0.149508	4.292122	9.214276	5.241862	
6.961212	6.795326	7.660484	0.665995	0.105246	9.595528	5.267901	6.651047	6.686372	3.577567	2.101727	1.940920	7.984014	
6.985164	4.909472	7.314988	8.490029	8.533734	5.814455	0.355756	2.000816	6.235043	7.596737	4.438150	1.971513	7.784468	
9.730619	8.138549	2.101376	2.806857	7.287527	0.759401	5.653595	7.671484	9.895643	0.814545	7.907868	3.750160	1.796218	
6.881307	3.909286	4.090892	3.498805	0.616335	7.804347	3.515193	3.281806	3.389748	3.484142	0.210744	4.982021	0.460064	
6.798481	1.892367	1.660322	8.252517	4.442610	3.202226	6.907939	3.664022	2.156963	2.338797	3.732370	7.336896	3.000999	

64.672599
