1.424858	2.040448	8.894130	0.027386	1.974578	1.344150	0.324396	3.641982	8.372538	1.725939	9.332911	2.408185	0.591319	2.495919	4.817210	8.327456	1.334770	0.409407	8.837468	9.331471	6.703738	3.130363	1.113395	7.191251	5.920663	5.504837	6.015730	7.013485	0.175447	5.434701	3.691716	3.340707	1.377942	8.781028	7.711165	0.145520	9.798485	4.236935	5.335364	8.878731	9.709319	7.891023	2.010052	6.721952	5.596505	9.413374	7.911755	
1.667990	3.306311	3.567446	0.509222	7.882307	8.634310	6.086606	5.489602	4.728044	2.727845	3.895824	7.849568	0.503460	3.615269	5.032537	6.304725	6.960221	8.923815	5.118591	2.921265	6.212661	5.926983	3.532882	7.083787	3.804163	4.194808	4.640286	2.795846	8.408358	6.061603	9.206596	3.018674	3.699202	5.123592	9.953780	3.135561	9.854461	3.385876	5.696447	4.823125	3.391811	2.672118	2.209215	6.343737	8.562830	7.660991	0.323916	
8.133572	9.980775	1.227278	8.367141	4.381363	7.914622	2.740609	4.876749	2.829332	0.623580	8.342737	5.936604	2.852218	1.947971	4.269768	8.751746	3.540007	8.176334	1.256616	8.973346	1.719136	7.164495	5.959934	1.491076	3.762369	4.986410	9.415832	1.770741	6.760584	5.843152	8.389761	2.735574	4.196581	0.911798	0.139590	4.562680	6.549709	7.781094	8.301185	5.575442	0.865359	7.753338	8.057395	2.500548	1.381604	0.658686	0.083061	
1.562381	5.821332	1.729478	6.973315	2.837419	7.967114	1.147308	6.154430	2.847176	7.393023	5.459145	0.368770	1.420747	4.207939	7.596021	1.736912	3.212225	9.778124	8.483202	5.386044	7.416296	7.087239	6.283165	5.994749	0.112897	2.291279	7.042599	0.019821	3.675978	2.844489	9.476786	1.764299	9.164982	2.685134	1.421626	6.342611	1.098129	6.936109	4.505139	7.771060	1.987223	4.987645	8.514172	3.547704	2.037659	1.888438	0.040902	
4.781472	9.828035	6.514247	2.553913	9.219475	3.447296	3.051408	6.463113	3.707682	4.968356	2.394647	0.544087	0.857328	5.758183	7.489947	7.535253	3.535035	7.009298	0.236255	3.836674	1.860750	6.180868	1.687188	0.933795	4.422219	5.370345	1.718014	8.664960	8.159883	8.734709	4.262097	2.307013	8.954363	8.523659	1.985559	9.767918	2.608976	0.164982	6.780817	1.590790	0.635269	5.918439	1.113962	4.125219	9.053063	8.050861	5.132790	
5.326748	9.181790	9.472389	3.755340	0.777987	4.734083	6.664248	9.305715	1.381887	6.726601	7.788521	4.410671	0.879284	7.324965	8.332895	5.841776	0.588223	4.840495	8.177948	3.217067	4.011840	4.378282	8.468616	0.200108	8.062277	9.670886	4.761732	7.484214	5.991557	7.478679	3.738131	0.055447	0.480123	3.401808	6.905905	2.943280	3.436171	1.933188	0.898916	8.757313	0.571730	2.428459	9.703857	6.912225	6.251024	4.155425	1.962048	
8.951096	7.989248	5.902345	2.604910	7.136428	2.595095	9.670925	3.302653	0.069520	7.187933	0.840609	3.051572	3.790687	0.671365	8.985747	6.831224	5.256873	9.501403	6.352306	4.409611	0.207190	3.132753	6.642231	0.406770	5.042826	9.661480	5.328166	9.231457	3.285081	1.286472	3.249153	0.114713	3.002126	6.996041	6.754050	8.130997	0.944904	7.275572	8.905275	7.118900	2.911404	5.909111	1.854345	0.800783	2.314218	5.571178	1.302240	
8.792573	0.520939	0.201171	9.608915	7.155944	1.158209	2.885851	6.150670	5.598386	8.215700	1.921728	5.511900	1.469149	6.429522	3.422443	3.027936	4.905249	4.382964	4.221327	9.087417	4.496325	0.046224	9.136540	4.831709	3.654994	8.750489	0.921286	5.572700	4.317309	6.144849	1.132961	9.785625	3.519772	7.644194	6.105231	2.903355	1.696339	1.288967	9.538877	5.950051	6.140428	2.384320	7.334577	4.931392	7.298812	2.652417	7.366703	
8.027199	7.960598	2.936503	1.282892	5.870992	9.333133	6.934150	0.241564	1.023579	1.386978	1.975478	3.904030	7.809150	2.195917	0.571082	9.592450	8.736146	8.807207	3.143718	8.901056	4.279383	1.708032	4.864491	5.872119	3.608361	7.365774	8.973062	9.995928	6.027038	8.373217	2.085497	0.494314	3.515016	0.054580	5.155968	0.213588	9.731237	2.058190	7.490386	7.564763	0.836382	4.118475	2.213635	4.646105	5.239697	7.728137	4.950910	
2.345532	6.430349	7.066056	9.549227	0.035009	2.669048	2.655003	4.318188	4.685165	4.166523	8.932440	2.442335	7.150768	9.255166	5.795211	3.203952	7.059870	3.411651	5.459728	3.753301	4.232852	2.102695	7.248507	4.578527	1.068843	6.240128	5.220271	6.389403	6.105990	2.339258	9.021458	5.723552	6.725258	0.770683	8.740915	8.063865	0.757414	0.719385	8.620884	0.443137	2.818120	2.670665	7.362305	3.060562	2.372192	5.566044	8.047220	
