2.083039	9.718252	3.762446	3.049408	2.776340	0.998947	1.307992	9.538118	6.189426	5.569446	1.501728	9.004057	9.256887	6.795636	3.289290	9.669817	3.647878	4.820132	3.690424	0.151118	3.365520	7.809746	6.495436	7.571030	9.173454	9.461033	0.806182	2.672709	6.100852	2.139536	5.589578	0.810250	2.383029	9.852017	9.521151	4.484799	3.625949	
4.414550	7.631234	1.929821	0.949807	0.509759	7.687302	1.781787	1.432761	5.906303	9.579856	6.733578	4.492951	6.663273	5.378538	0.678039	9.118501	6.932678	0.348201	2.491457	3.310067	6.725752	5.911005	0.353029	6.857191	9.364166	7.385233	3.792713	4.724641	5.131907	9.214581	9.147681	3.370402	4.485761	6.522919	7.475610	4.375627	1.025167	
7.419829	4.078590	8.966483	8.692434	8.641559	7.051087	0.809899	0.617473	0.763908	7.460318	9.704200	4.796297	7.533796	3.080091	5.680546	0.254474	2.045582	6.319107	8.955498	2.324330	8.683832	9.590819	0.375718	3.711929	1.962351	9.022831	4.137554	8.804509	3.124930	1.672634	5.195664	8.505181	8.728385	0.002296	2.194291	1.791017	2.403538	
9.450424	0.956728	5.978399	0.363299	4.632949	4.937064	4.153529	3.322289	7.682619	8.502092	9.547228	4.372629	0.411210	8.152511	6.231227	9.103240	1.974756	4.092361	3.497044	0.631361	5.778894	7.494237	1.308128	2.802233	9.294713	1.873698	8.829653	2.638940	5.425245	7.589558	2.947249	3.412147	6.433475	0.504548	0.642449	6.146283	7.461455	
6.059158	4.776314	0.515478	3.867795	7.999646	6.557512	7.352303	4.894991	6.716791	9.259447	5.394506	6.255531	7.539990	4.400715	7.696360	6.801128	5.477998	2.710363	5.753437	9.131320	5.038335	5.484536	2.179461	4.723870	5.722818	8.802702	0.317895	1.257752	5.811569	9.976077	6.241268	4.790897	6.129960	9.819553	2.656955	7.912928	5.496991	
8.450556	4.892887	5.760318	3.889550	5.766368	4.952572	9.641268	1.701328	0.461949	8.012029	3.657150	7.605513	1.241153	5.828031	6.495047	9.835280	3.158081	4.026858	9.799005	8.751773	5.995224	2.996739	4.209432	1.687916	7.370478	2.476703	3.798881	0.639950	4.574116	5.406696	8.862159	1.588588	0.155992	0.841439	2.251306	0.878146	6.994206	
3.519854	5.537478	0.442954	7.015211	4.970299	1.137144	6.589847	7.460401	2.738885	9.111260	9.244825	9.810228	2.787278	9.172379	3.660395	8.090446	3.853768	6.814359	6.839450	0.438104	6.713423	1.287322	5.134234	9.065214	9.215841	5.832603	9.894128	4.849074	3.166905	9.382429	7.574193	7.336814	8.649435	4.613260	2.854964	2.261003	5.763450	
8.103035	9.081586	6.628778	6.821388	8.007121	6.161909	6.316355	4.904471	0.465301	8.962978	2.858176	7.997246	2.626598	4.840004	9.651084	6.576111	2.754732	5.113103	3.286893	8.069712	6.681624	2.340471	0.766631	5.792406	6.409045	9.183741	1.406053	2.154178	4.472954	2.572264	0.192738	7.332591	5.882585	0.773958	9.151986	6.443439	9.172383	
5.537800	6.855563	1.304765	7.660194	1.336553	3.106753	3.498669	1.383358	7.733403	4.014884	0.372033	2.901794	7.063946	2.093356	8.949737	1.243042	7.371202	3.684131	1.834526	7.344590	4.087834	2.704154	5.635550	8.746306	4.004762	1.983182	8.696735	5.220587	2.964433	6.998593	7.309608	5.855213	2.453018	0.363478	2.477460	3.499957	9.446786	
6.208606	6.344232	5.534911	5.025601	0.634877	7.832121	5.212092	7.012529	0.170823	8.406777	1.200561	3.264743	4.707624	7.330376	6.218914	8.319600	5.829468	6.981914	4.268961	1.061618	7.579713	1.074713	4.872265	0.939563	2.463607	2.493905	6.069436	2.847069	0.902057	8.023215	1.248989	3.681791	2.399643	6.918215	8.166889	9.914724	9.950709	
