7.883393	5.865472	7.660157	0.745459	7.120853	3.718805	5.403981	2.905173	2.658034	9.145524	8.561821	6.047947	5.119926	8.793104	4.235574	7.332024	4.462100	8.622147	5.694998	8.614244	1.545373	4.796530	9.231498	4.640730	4.334747	2.368095	0.467506	7.769528	0.168594	3.130738	9.965308	3.921444	2.571346	0.977206	3.794639	5.278373	3.328186	0.597870	
4.336955	5.645317	2.009960	1.048894	5.159422	6.153307	6.114508	6.212868	6.042432	8.022993	4.663208	9.801597	0.716105	6.078773	6.706451	2.876872	1.745927	1.988487	6.900635	5.392884	2.304249	9.293856	6.241285	1.566145	4.378625	9.893297	0.402380	4.339818	5.628150	5.239198	9.244843	8.333225	9.352207	9.600581	1.717895	6.679951	5.273190	9.874393	
8.067289	4.855289	1.156855	3.338020	6.648352	4.987521	5.762736	2.228694	0.161464	3.058740	5.546498	9.241575	8.299075	7.682283	1.474750	4.315279	0.572581	3.166679	0.876411	3.348649	7.200729	9.550854	7.128791	5.179541	5.467426	0.601008	8.320566	5.166364	2.428573	1.993941	7.325748	9.872102	0.362501	3.975164	0.097960	6.577483	2.508930	1.718424	
8.320173	3.686236	6.921646	3.061087	8.983889	3.583591	8.735073	8.155289	3.383573	0.447367	7.937970	3.971527	0.082160	7.096581	4.843993	8.867674	1.533650	2.917193	8.454940	4.345007	7.624231	3.145299	9.029711	9.745329	8.729407	5.694664	5.542063	2.296216	3.524972	2.519095	7.737077	5.136103	6.196644	6.000010	2.899101	9.619906	1.692664	9.263670	
3.294778	7.144031	9.496034	7.511832	9.521413	6.080818	5.992890	2.940678	2.402657	5.196876	4.660871	2.885081	9.482150	7.122846	3.455346	3.738122	7.170225	6.524817	8.440710	1.272381	8.050661	1.793417	3.731746	7.577393	7.615247	0.951959	3.531549	8.005116	0.477247	2.227418	3.053246	3.002991	9.460046	7.765672	7.617049	4.740503	7.937172	7.134043	
4.847267	7.468449	7.222822	1.755494	1.387772	7.279073	9.676632	6.596565	7.201704	6.379263	1.342674	6.512790	6.549471	4.240478	1.290332	2.454065	2.202191	0.316096	9.824445	6.622398	4.347321	8.092101	0.154277	7.472664	4.067525	7.990769	9.675891	7.392534	0.745599	3.984987	5.972761	3.384554	6.196763	1.838241	5.662974	7.970047	7.684587	4.943621	
2.524471	3.103102	7.170811	8.073033	4.436705	8.029024	4.505643	8.679913	8.779504	5.920777	7.697756	0.728789	1.559615	8.863744	0.341733	4.568997	9.577068	6.152839	3.407352	1.340051	2.167147	5.040570	8.590494	9.898021	8.487021	2.872488	4.876738	0.463609	0.133928	6.149705	6.581495	1.688198	3.393961	4.826562	5.183758	8.126223	3.559594	9.750352	
4.643320	4.749476	5.734548	7.993444	4.556064	0.177281	6.178314	5.709660	5.498656	7.787816	4.586907	7.357730	8.702335	2.051412	6.593163	1.273801	7.489893	5.635284	4.405687	5.150122	1.974422	8.382821	5.668094	7.231693	5.025493	7.583762	0.088745	8.868438	4.896481	2.649911	6.741711	3.604185	8.987426	6.854058	1.103917	2.263144	8.146820	1.438926	
3.708443	8.818946	1.251169	9.885825	8.891621	7.805862	1.366110	8.300814	5.601692	7.590476	2.251599	2.567178	9.281349	2.170353	0.429490	4.943302	8.250841	9.883064	8.820491	7.973117	0.932802	6.577306	0.791043	7.343993	1.553650	8.451871	9.065313	3.973522	6.266302	5.459043	0.163929	0.312078	6.539128	8.836529	3.150237	2.180005	6.947906	3.460781	
7.113753	9.234960	0.742855	2.065988	0.409133	7.102830	5.284217	8.631085	7.476253	1.651136	6.305828	0.220609	9.522415	2.299239	9.601573	4.825322	8.073028	3.730867	8.343379	8.408277	8.757452	4.537919	7.759835	5.082466	9.795397	0.131650	1.023315	1.101864	1.414617	7.704202	3.564306	8.774528	7.291533	3.291944	2.037605	2.643707	4.867583	2.124473	
