6.338522	4.509356	7.505028	1.462938	2.334524	3.134425	6.443828	2.427601	8.486421	2.363241	5.823778	9.042469	7.822169	0.567195	1.029553	6.740967	6.986614	6.943311	5.914616	6.768926	9.302901	0.793244	5.548529	9.103279	9.736455	8.051984	8.396713	6.101775	5.431823	8.909868	5.883424	7.417492	0.894893	0.078501	5.878007	2.030665	1.230598	6.356471	6.558885	4.386495	4.532737	4.592537	
4.668830	5.297833	5.433465	9.988859	3.853325	6.489595	8.407851	2.883894	2.928356	9.910416	1.772794	6.391002	4.457256	4.034187	2.927421	7.841040	9.392188	1.176605	1.969561	8.220440	7.257213	3.218075	1.729074	6.390692	9.948629	1.941435	6.561855	5.812287	2.192605	0.676490	7.837739	0.898261	4.511232	6.764836	8.978436	6.020723	8.189237	5.812287	8.703863	3.487305	3.816874	6.010158	
3.842402	4.942150	1.789276	0.119081	9.877989	2.840334	3.761975	3.407664	4.312559	4.813430	1.559936	6.310872	9.420369	1.978065	2.587173	7.664598	8.153302	4.110853	0.082560	8.562858	8.335817	9.804418	7.389909	6.952535	3.467705	4.583007	1.461584	4.254243	9.031374	2.385387	2.655368	1.459053	7.580609	8.497022	9.986444	4.083136	8.009877	0.389311	6.390407	9.913619	3.870625	4.508760	
1.665544	6.550078	9.221316	4.914643	4.890833	5.874423	8.312909	4.772524	4.375608	5.631285	3.771510	3.068573	2.406195	8.118442	0.012826	3.560742	1.320538	5.285261	8.868320	7.817079	7.015175	5.050194	3.855711	6.902474	6.474269	7.772353	5.261893	0.575982	9.460881	6.120600	7.552499	2.542562	5.931888	5.732779	3.776825	4.020447	7.920948	8.578827	6.833726	4.319438	6.218166	9.459953	
4.915996	3.215446	3.928345	3.826239	6.053112	8.957152	7.332985	5.510762	7.462483	1.755779	3.171031	4.216812	2.492474	2.445253	5.640178	8.891803	7.748426	9.521939	2.678499	4.467754	9.117250	0.547990	8.167375	3.046375	7.245124	5.555969	0.154829	2.058763	3.453348	3.146782	6.610545	4.728505	5.862647	1.504853	8.351638	2.032511	9.243726	4.841916	6.388265	7.929024	5.416957	5.204355	
9.077117	7.510273	3.454574	8.880784	9.804351	2.390696	2.919000	4.902084	3.546264	2.442088	3.117978	7.058750	5.003999	6.105516	1.419993	6.603804	9.011440	8.659064	2.731848	7.765324	4.560752	8.049582	5.880441	4.003864	5.810287	3.127563	4.689029	9.093652	5.241037	6.588480	2.764047	2.550955	8.903377	5.538970	6.683324	3.862837	5.709755	4.049415	8.148786	3.534379	7.489167	2.703839	
8.946354	0.070813	0.440367	3.061347	1.957847	8.335383	6.820972	0.617461	9.118532	2.049622	7.321294	7.678539	5.525131	5.588444	5.737637	6.927391	5.508511	7.540369	9.349730	9.678230	7.196931	9.156668	6.578768	5.106508	6.324269	9.491914	0.220406	5.982687	1.023253	3.586105	7.399857	0.938865	1.654868	5.975246	5.107052	7.614576	4.053728	4.391124	8.984504	7.812801	9.937215	2.975363	
7.369929	7.380158	2.632073	9.957645	9.320546	7.950348	2.876663	6.613094	5.392087	4.455749	8.306555	6.288669	8.187568	5.984904	2.953261	6.268325	8.104836	5.874813	5.624646	3.016497	5.127029	0.716854	1.256629	5.618598	3.933407	7.750145	1.213136	2.701360	5.684806	1.780395	3.097149	9.304156	7.328793	4.678422	3.842451	7.701927	7.816731	2.987415	9.609946	4.330746	6.581092	7.712504	
7.292707	8.467166	1.054355	6.621366	9.998168	3.501825	3.224093	2.570605	4.051208	5.064440	4.616415	4.322114	4.715814	2.868031	7.006644	7.422063	4.805706	8.891325	6.755271	5.573329	7.407517	2.197864	6.805086	5.762268	1.070009	6.351521	0.864228	3.697344	9.784860	5.986931	2.025200	2.221922	7.616636	8.386034	2.127929	2.873482	2.783870	1.001644	3.656364	2.179437	3.234676	7.921516	
4.174019	8.013973	4.199920	1.415819	3.390122	7.785942	0.233134	1.831674	9.120727	9.484090	4.517950	1.015885	5.292286	9.408041	1.576989	1.827613	9.540465	0.638111	7.197882	9.014174	8.794988	8.432541	5.024741	7.018583	2.608931	8.656563	8.232095	2.684746	0.389596	9.401129	9.957675	5.603930	0.966990	8.972759	5.302849	2.882015	7.917183	0.668712	2.739707	2.212280	7.637629	7.243115	
