8.926667	3.736286	2.447242	7.351332	1.474293	5.274357	1.319738	2.324327	1.660264	2.890193	3.791644	3.884841	4.500635	8.858804	6.751586	8.102591	3.457193	0.570668	5.542217	9.616740	8.243232	0.551745	1.401817	1.573731	1.123725	3.709102	0.596695	0.559148	5.497902	0.890239	8.303155	6.352041	8.990890	9.688063	
4.376631	6.330248	9.952249	2.253489	5.609369	4.435278	3.783271	9.781539	4.667149	9.985114	3.668243	9.328071	0.534432	3.826550	7.544198	5.576983	2.541691	2.444925	1.394414	3.151971	6.151866	0.432406	3.808322	5.657134	6.045043	9.252156	6.904281	3.733974	3.801085	1.109518	8.156265	6.509686	8.738372	8.686388	
7.770192	9.221603	9.981672	5.235025	9.693039	9.231177	7.794004	3.307108	6.698020	0.469548	0.300474	9.445769	9.037319	1.558658	1.699672	0.105077	8.031400	9.345381	5.880732	3.630611	5.660435	5.017744	5.710161	4.608580	7.462053	0.449816	6.536196	0.437781	8.778569	2.751349	1.950106	3.746834	0.404160	9.634573	
6.376271	8.589952	2.321988	4.013848	1.979714	9.210664	3.975282	1.091904	8.792942	6.607054	7.067761	8.749802	3.218814	5.703900	2.480554	9.832660	9.264721	3.875588	5.263990	7.540430	8.746684	5.732510	7.306129	0.007937	4.448764	4.587713	3.731907	7.772328	6.838435	2.053907	9.547054	0.353211	1.341982	9.400306	
4.127396	7.317286	7.436823	1.192182	6.260808	5.735494	1.500425	1.161870	8.652395	1.545209	6.570826	0.079205	4.960448	5.963628	3.547741	9.608305	4.426263	7.293058	1.989031	6.960653	6.895197	7.779651	7.713736	1.016968	5.535728	7.918893	9.891336	3.787289	3.135595	8.044479	5.239127	0.390032	6.311615	4.694354	
3.428286	2.451882	1.807050	0.278336	9.453000	2.299760	3.097152	0.515964	1.663363	6.221550	2.653703	0.962053	0.218718	7.360508	7.185393	4.772041	6.526102	6.487610	2.892749	5.703078	2.710472	8.759613	1.132833	8.782988	7.910297	6.861322	5.198369	2.339070	9.831339	0.081204	9.874432	3.000219	6.867437	7.678064	
3.847742	9.685955	7.307726	8.756941	0.167710	4.895504	9.573635	3.779516	6.450095	6.354983	6.508876	1.837375	3.886920	8.581769	5.135195	4.925770	5.511687	8.848658	1.735172	8.460288	5.194160	1.227171	8.501298	4.083053	3.615765	4.240453	8.967980	7.333189	2.500260	1.596092	0.358710	9.965330	6.552389	3.846357	
3.083534	6.962953	0.567783	2.821513	3.937396	9.010729	7.214509	1.045848	5.208099	9.900530	4.720798	3.162274	7.939055	6.765708	2.385458	1.679587	4.014155	4.892442	4.896512	7.807758	0.740027	6.974045	8.295330	5.152702	8.525603	2.722416	9.576016	4.082091	5.906013	2.279880	0.512221	4.717403	6.587237	4.941901	
3.962921	3.459037	0.614925	8.041785	1.390305	4.776103	5.955405	5.986458	3.697766	2.341981	1.947861	6.640186	3.608222	7.428549	6.182304	3.072456	5.653689	1.183518	5.325230	4.983779	3.436721	1.132908	8.908556	2.009821	0.722486	6.998595	0.354539	0.923223	8.435508	4.069518	5.080177	1.251139	4.107119	0.794511	
1.900040	6.638624	2.069680	6.352685	9.776379	9.278888	6.053306	0.515473	9.230551	3.501413	9.105773	8.899255	2.934651	7.140852	2.077534	2.583664	7.051854	1.520573	8.024045	7.838111	6.870709	6.732351	1.379607	8.499111	7.613182	5.816959	7.423394	1.761994	4.177895	5.697199	6.999194	0.009083	0.168517	3.380845	
