8.914650	6.452823	5.171414	0.003153	2.859918	7.940597	0.859200	1.551642	6.150415	3.286710	0.204387	1.440045	
8.119456	2.614202	4.486438	0.172269	6.798691	8.435629	7.286258	3.381304	0.617298	8.233965	3.593526	3.765210	
0.014662	2.609840	8.703313	9.279446	6.304217	6.180399	8.944703	9.821516	2.644046	3.159192	9.872914	6.424732	
5.411334	4.951386	1.765834	0.428242	3.886557	5.066934	5.456165	7.199387	7.102745	1.358143	6.530581	3.012328	
5.813264	0.505606	2.992339	1.739623	2.096777	5.595088	8.059483	0.427156	3.884468	5.071724	6.371003	1.628228	
1.578548	1.563173	4.454571	7.059318	1.187656	0.434131	9.854518	5.876478	1.605005	6.116636	7.862443	5.102221	
0.152716	3.470071	1.300167	8.942261	7.834390	0.990254	1.467823	0.279708	0.950773	5.065546	4.031984	6.000880	
0.827814	7.766631	3.257240	5.351460	6.493154	1.404127	7.699978	3.377059	7.024117	5.409075	4.140003	2.564604	
1.136774	2.886896	7.561813	2.644292	0.220005	9.180770	5.989225	7.542681	3.470517	0.174475	3.386892	7.239775	
5.732491	7.113324	3.071408	6.294518	9.793100	4.567231	9.051711	0.997404	6.088201	7.216040	0.136259	3.454664	
5.625790	0.770551	2.836004	1.986654	8.530940	1.947796	1.919861	4.189425	8.516590	8.607571	3.991528	3.546702	
1.693449	5.740129	0.244270	0.211989	2.523712	5.465574	0.032531	4.672515	6.850548	1.548894	3.865278	1.641117	

51.536736
