5.314290	0.737639	4.458627	1.241028	8.332469	1.453852	1.594496	7.735276	0.765048	7.165019	0.201258	3.061288	0.028645	8.748521	3.906868	3.444644	
2.019691	7.819833	2.729760	0.285665	4.695492	6.698257	1.864441	1.511619	6.815568	4.827491	3.961577	6.603888	1.429733	0.340274	5.618024	6.343216	
5.382777	3.874831	4.114928	1.786010	2.655378	2.250413	0.900477	0.171128	9.991572	0.112154	7.496339	0.973089	7.874701	2.078893	6.755403	3.596812	
1.659171	3.671871	3.657437	6.976973	1.751314	7.672620	1.043413	5.847262	3.367624	1.940920	7.405894	4.352672	3.245876	4.613764	5.696909	0.854220	
1.021301	9.266333	8.945696	1.677546	7.572957	9.870874	2.536231	9.644642	4.623814	0.534525	8.236275	4.473903	3.223536	7.591017	0.737132	2.831256	
6.708550	1.774090	6.316688	5.439788	2.210098	0.544993	6.319031	6.065029	4.945276	4.611987	6.187064	0.810250	4.629674	8.174190	2.803444	9.762329	
9.181601	9.340898	2.614989	7.926964	5.566039	7.762308	7.251786	1.558500	9.514759	4.860818	6.605025	2.132260	2.271092	3.990117	0.270642	7.990116	
7.444007	7.144308	3.978381	9.961282	7.373198	4.425248	9.365640	9.170822	3.932485	2.269845	5.012824	3.882047	0.085041	0.232462	3.814990	9.973559	
6.163044	5.164774	8.987900	2.044040	2.447953	9.646933	2.321102	9.161580	6.401871	3.391671	8.242948	8.573682	2.682198	3.974443	9.801908	1.321664	
0.866137	8.862675	8.404789	1.410796	6.075906	0.018098	3.724854	3.534542	7.524927	7.660696	5.156159	8.617297	9.362384	6.899027	0.090126	5.458745	
2.997447	1.659474	1.518595	3.759098	5.236216	4.242021	4.215976	0.827983	4.405631	7.279141	0.830177	3.159772	8.628178	6.263470	8.818304	1.483745	
4.488008	6.683552	1.790347	1.671990	5.932804	3.908062	6.740867	8.273458	4.278995	0.206694	9.456915	5.703422	5.874985	8.462356	5.200893	7.840158	
5.838479	5.243989	4.737154	4.999092	9.572196	4.554273	1.407932	4.877216	3.857494	2.291029	6.586725	2.803093	2.181414	6.038913	2.322932	2.145434	
3.246159	4.144598	9.614420	2.376244	0.973837	6.688405	8.115182	9.503513	7.811133	6.324618	0.219293	3.919409	1.244173	7.848583	7.749050	6.508780	
1.380030	0.397467	3.128259	7.160799	7.226221	5.444140	6.194515	1.213751	8.718683	6.438134	7.029272	2.426498	4.254595	9.551852	3.033353	5.266936	
6.536010	3.167908	0.214090	1.517459	0.945380	3.886779	3.547226	6.921415	7.400127	5.618641	9.430306	4.556565	5.548605	2.905271	5.757885	2.698413	

76.214686
