9.489055	2.963797	3.267386	1.854314	5.294517	4.547057	3.050284	2.549242	4.811440	4.120304	8.573188	2.875120	2.148066	1.134975	7.604729	7.774931	1.665390	
6.354516	6.047789	2.741770	1.864184	3.234462	4.004814	5.042699	8.084508	2.706232	8.161926	9.774730	4.748089	2.169000	7.428460	6.507863	7.866431	1.380783	
1.966310	5.755548	2.277468	4.336197	7.678090	8.409248	3.462774	3.141797	5.242981	7.417498	4.940385	3.607160	9.266510	4.516053	3.707648	6.758775	7.556016	
9.866817	2.538972	2.303713	4.301404	9.827953	5.846710	7.265708	9.793066	7.257680	4.743225	4.662637	6.208195	9.495025	6.517042	6.158819	8.243321	7.564004	
7.918494	0.113336	2.647547	4.076664	5.587378	7.543367	8.110220	2.513167	0.740649	0.119318	4.801321	6.000458	8.762186	0.627046	8.213763	3.003775	1.122322	
1.704196	4.776474	8.114973	8.390285	0.691702	1.932541	5.379359	0.023043	7.686995	4.984589	3.448569	4.655494	6.590928	9.600524	8.446594	2.399743	5.579804	
7.479577	0.221741	5.412664	5.258722	8.155246	8.578134	3.503391	4.969707	7.500223	3.423696	4.213092	7.669882	4.233504	2.855418	9.443480	6.797396	5.012172	
4.009371	8.185057	2.953175	1.393207	6.690206	9.832722	4.852941	4.971278	4.045281	0.478966	5.819905	1.840822	9.790393	6.431242	1.914484	8.801043	6.577834	
4.708102	6.279904	0.504378	3.131978	2.245470	0.699117	3.239284	8.123398	4.225916	8.849638	4.679286	0.082087	1.086255	6.470775	0.858209	8.097243	6.115548	
5.994948	5.632955	1.821937	3.095778	3.241698	4.814341	9.988864	6.163097	4.390667	5.927417	4.895751	8.904837	6.570038	9.559501	3.517165	0.557619	0.004017	
0.136075	5.715753	0.963446	2.795309	1.097658	7.349923	8.698073	4.209167	6.729698	0.999954	5.494390	5.050354	9.778932	4.920495	5.894241	3.220228	2.924099	
3.686419	3.865175	4.397614	0.830263	2.709358	6.181291	0.298343	0.906189	9.886563	2.603475	7.361009	2.373457	0.463215	1.327509	7.972456	6.900043	4.028205	
3.174030	6.207632	2.781877	6.389964	9.490988	7.537879	9.632838	0.206504	8.086718	0.910179	7.998271	7.229436	7.601484	3.076300	4.506040	6.574389	1.127173	
6.036006	3.221330	3.433503	8.934320	7.320576	6.115004	3.029561	5.516815	5.546473	6.026779	2.319071	0.835337	0.722313	2.732673	2.958381	3.702030	4.398356	
5.524507	6.753190	9.701297	7.848143	6.433082	6.249059	0.108047	3.287797	5.337339	6.257328	7.186819	3.299355	3.260712	8.203207	1.048368	5.910079	2.094790	
4.195386	9.046973	8.050813	8.879385	3.369081	6.088801	5.557660	0.043540	1.416835	3.947667	5.327081	6.585061	1.178105	8.890726	4.776742	4.053552	0.438452	
5.186952	6.753473	3.053463	5.676155	0.400123	2.691567	5.916388	5.135518	9.352380	9.045735	8.808647	7.451664	5.436197	2.759027	7.829074	2.552609	7.684333	

83.742859
