0.533655	8.162307	6.467818	6.206958	7.128618	9.112889	1.984258	4.747313	1.215449	3.750915	0.773921	4.502595	3.455446	3.413177	4.558733	5.024582	2.107860	0.659496	3.116457	7.545183	7.398594	1.100665	2.398548	1.361882	6.134711	7.105872	5.074600	2.212009	3.378057	0.717584	2.827166	9.510319	4.120327	1.881046	9.123093	5.241305	9.361065	8.829686	3.134890	
2.001642	5.248949	3.995910	8.950644	1.879923	5.380723	6.192560	9.206602	8.450975	4.898629	2.925721	8.958865	0.207912	3.809257	6.077050	6.547850	8.233786	9.041472	7.827126	0.892220	7.025248	9.835809	4.383999	6.814659	3.182585	4.933294	8.644346	9.483743	7.316157	7.746911	9.896996	3.648854	3.525639	2.596131	8.947682	0.739359	8.294399	5.076669	9.418886	
9.114660	6.070821	1.421462	3.633037	1.187804	6.472265	6.451726	7.210147	3.381718	1.057688	7.720149	7.135636	5.327987	8.130872	8.495034	3.324773	4.646702	7.262181	9.036861	1.013503	3.307723	5.275775	5.029911	8.093341	5.830240	7.306645	6.637213	6.136774	7.924861	4.581821	1.552774	7.779890	2.458328	4.474359	4.102558	8.370747	8.261431	3.136017	8.918177	
9.905597	1.913700	9.807653	0.324683	3.888972	7.229028	6.379459	9.112969	4.611078	7.401187	5.924116	2.497416	6.161620	3.433119	6.307552	2.896329	1.647837	8.926706	2.998159	6.406292	5.269632	1.352978	1.818241	2.527621	1.608625	0.008849	7.430355	7.683696	3.056009	2.674269	0.387168	1.021741	9.656616	8.537048	8.208182	0.561366	7.004454	7.271674	2.803353	
1.635680	5.594830	6.364649	9.406944	3.641942	4.729372	9.104933	9.359025	2.010552	6.926714	5.094338	1.830117	0.163226	9.027475	2.235471	5.801934	8.497887	2.711482	9.583503	3.943762	1.156323	6.988567	1.082234	6.806099	0.267726	5.765370	6.496058	0.470783	1.547019	4.890133	7.628091	2.791468	5.536421	7.491442	0.624661	5.108300	8.802174	8.107003	8.289666	
8.364205	6.549628	2.756574	9.718005	3.403164	1.054078	7.330075	4.302826	6.547353	3.758388	9.179038	5.149189	6.978554	4.771414	8.617383	6.014224	1.088544	8.443972	6.312808	6.604684	0.288886	6.569222	1.339039	5.546998	9.756224	9.097867	3.004320	1.515815	5.898370	3.636754	0.438321	0.358707	7.227704	6.897274	0.634300	6.089189	1.466788	1.178557	5.749594	
7.723422	6.785444	7.947917	3.083613	2.410319	6.751001	2.257632	7.275311	4.665596	1.956232	8.217209	0.625987	6.081666	5.739186	8.854761	6.919520	9.331477	5.239529	5.124347	5.390906	0.535206	5.250083	0.977671	9.941030	4.591218	4.353402	4.880603	3.053773	3.393759	5.145938	4.585541	5.475778	2.430814	2.261118	1.523775	6.453872	9.312852	5.089211	7.399907	
3.033708	1.415272	5.891956	8.974123	7.240883	5.314972	7.526910	7.085517	0.051589	1.188990	1.406998	8.902911	2.559996	7.045814	4.396643	5.017314	8.551185	3.156355	6.778929	5.366576	8.960142	1.538846	4.361235	0.506707	7.931609	5.492550	7.500036	2.074366	2.471367	1.643352	0.138547	9.806519	7.065279	0.852242	8.262585	5.498072	1.130191	9.830153	7.123596	
0.817200	2.362327	8.226725	2.064954	0.367513	9.589810	7.502430	8.602490	8.322167	2.224484	7.208268	5.803381	5.296886	4.254116	0.700915	1.412654	7.241150	3.667978	1.124975	6.641016	7.025564	0.307084	5.681376	6.357410	9.177657	7.063907	7.250895	1.494754	5.203534	4.547904	1.991554	0.179182	5.371640	3.451937	1.297803	1.026516	7.708418	2.574219	3.945972	
0.982716	4.073683	5.779415	4.073044	7.318665	9.625503	9.681641	9.639546	0.946523	1.988335	9.198802	8.661517	2.502181	3.119083	2.364623	2.486419	4.737892	6.941259	7.782036	2.759893	4.072279	5.382267	6.802544	6.504610	8.984215	3.613077	4.654684	0.522947	9.717844	8.672961	0.160136	2.146999	4.107836	3.744475	6.181051	6.114263	3.875689	2.341490	1.332227	
