7.394095	3.156003	2.063115	6.745161	2.755658	3.672525	0.779057	7.599720	1.420596	7.079504	9.350943	6.076567	4.469208	8.150852	3.964619	
8.145345	1.177286	3.144872	3.173738	2.890164	2.070570	9.735567	3.415292	8.693828	2.751188	3.925189	4.654890	6.084168	2.724433	2.249171	
5.727293	2.723710	8.943250	4.937006	2.383833	3.437121	9.299476	7.439200	2.131932	4.888469	9.977838	2.588287	8.255488	1.502108	2.723779	
9.955784	3.076704	5.296036	5.309254	4.886793	6.568816	4.520648	7.336656	2.087341	8.263301	8.422671	2.078558	5.902288	9.349538	8.556232	
9.295319	3.022370	3.716704	8.295333	0.569567	8.455467	7.134342	2.759835	0.803398	1.271176	6.607962	8.636920	0.351936	7.763373	1.258655	
7.711516	9.272291	0.117956	4.516118	4.429899	2.483450	4.932264	5.949443	6.713586	7.821798	4.799007	7.068959	3.431260	5.747707	1.179000	
1.008579	8.835701	9.461371	2.457474	3.079326	4.276049	8.235146	8.706566	3.823883	1.649232	5.363366	3.696707	4.446158	9.818047	5.000412	
9.789769	2.477131	3.269465	3.844749	4.356918	3.469321	4.744897	0.257594	4.941435	6.415835	1.208927	6.971107	6.633562	3.027643	3.971728	
0.168342	0.988766	6.343933	1.413096	4.560494	9.705625	0.487088	1.930214	2.458327	6.630881	1.053985	3.204652	4.079424	4.454130	9.185127	
0.528344	5.219934	9.569774	6.897852	2.923664	6.958798	2.533899	0.762875	8.107611	5.954188	9.280183	2.786074	4.279811	0.556973	1.821319	
8.490391	1.504015	2.669749	0.173179	4.127487	7.727580	9.385811	0.007116	6.062749	8.956780	1.422283	9.385222	0.975151	4.975343	2.005735	
9.690092	8.520634	9.348058	8.593347	5.075892	8.453008	2.845609	6.986120	5.499307	6.729388	1.914653	7.981752	5.968377	2.353724	8.259040	
4.273489	0.627778	9.635827	4.547691	7.159424	9.097519	8.573256	7.591899	8.402180	3.660427	9.021613	5.938021	3.890899	9.488370	2.043535	
9.916949	7.684085	3.116189	0.645641	0.732274	1.411795	1.184825	8.122254	0.211526	0.752169	0.610100	9.959236	4.520861	9.837058	4.889846	
3.938601	5.611337	4.176406	1.993736	2.744399	3.086836	3.154689	4.773820	8.371350	6.424519	6.711558	0.785244	4.043282	0.315950	0.474427	

73.970766
