6.588936	7.771141	4.345318	2.165037	0.148772	6.168537	2.800997	5.547015	1.048171	7.882141	8.409162	2.243974	2.636722	9.691765	6.001044	2.859157	6.138134	1.488922	6.043774	7.965115	6.277425	1.207630	1.633122	8.264143	5.966110	0.321769	4.163379	0.569138	2.435662	0.722082	7.334179	2.624030	3.249632	8.039537	2.416533	8.238370	6.180970	2.720424	3.794030	2.144760	4.584405	5.558650	6.558481	4.611868	7.695380	0.090454	5.834010	0.747226	4.320295	5.812666	
1.466681	2.179654	4.647735	8.028332	5.540723	3.850919	6.003500	0.189602	1.472367	6.339854	1.685398	7.060874	7.278419	8.713300	4.873911	5.726709	4.102205	6.907262	5.817852	7.804976	6.768990	9.143406	7.451291	1.106051	7.825117	4.313301	6.622527	6.837487	6.716747	7.670354	8.143385	1.746714	0.234245	1.770351	8.632149	1.690920	9.682338	2.899081	6.706667	2.811951	7.922474	7.401948	9.754517	0.442576	0.948387	2.103858	4.507314	3.808616	9.542227	8.353168	
5.850042	2.804819	0.299387	4.209434	8.674182	1.017531	6.417742	1.880542	1.746229	7.270948	4.261877	5.327620	2.987322	1.782539	0.301520	8.959212	9.659681	5.595761	5.965647	4.904476	7.754099	1.403551	6.893451	0.035685	0.738606	1.091814	8.368721	6.493981	7.337268	4.545898	6.772844	6.760022	8.991857	3.163192	9.597014	3.648813	3.846646	4.990859	3.236997	0.775157	3.319785	2.930099	6.656208	6.225460	0.831014	0.459947	1.874997	8.903986	9.545699	3.595148	
7.336569	0.338198	1.342010	5.005326	5.743983	9.842045	5.473433	0.798923	3.663484	8.695919	2.701447	6.774663	0.953868	5.447437	7.633133	2.066426	8.206855	8.980977	0.355685	1.698061	6.243821	0.450156	6.448392	3.726448	7.931537	2.999007	3.245331	9.526199	1.783200	8.097587	6.731307	0.865250	7.022680	5.987275	2.483210	8.239345	2.182444	7.142048	5.157733	6.188525	5.790694	0.368596	2.929842	3.980751	9.778811	1.982446	7.210244	6.199167	1.298623	2.159620	
2.663871	7.496578	6.444615	4.788511	6.601137	9.346836	7.604075	4.166108	0.868003	3.713528	3.286549	9.017880	6.931919	5.485233	2.700061	7.504846	2.854387	3.640080	9.577222	2.330646	0.052342	1.355700	4.108378	6.047562	4.411676	0.534511	0.692212	6.775819	1.553022	0.050036	7.865069	5.562919	9.645833	4.090705	5.904522	9.692785	3.267634	7.588025	4.182846	5.787606	4.020019	2.765689	7.561673	6.403169	9.087514	2.836206	4.439744	0.406289	2.394098	2.158590	
1.626935	9.630943	6.674430	0.765633	6.389158	2.701199	6.972428	0.188978	6.529426	2.455051	6.405931	3.554971	5.981333	8.465437	3.195871	9.761970	6.929263	6.578652	0.237908	3.176348	8.882016	8.549598	3.420237	7.074028	7.330881	1.802261	2.175275	3.548198	9.184841	8.104460	6.228920	3.667979	9.226121	5.130261	9.278725	9.590703	0.924609	5.570190	6.905286	3.330177	7.801238	5.737141	1.142626	0.797313	6.500524	7.960745	2.510242	4.665621	6.567474	1.782316	
9.828465	1.424033	7.289669	2.501502	1.040679	8.111550	4.674407	6.635316	2.084886	7.182092	4.554639	8.708065	1.537038	1.856868	3.771945	7.183045	3.157919	8.654798	9.525290	8.875693	8.520806	1.023006	2.642890	6.032405	3.249279	9.807024	2.131106	7.348015	1.067326	1.414379	4.676828	9.905673	7.803422	3.172565	7.358147	8.581009	4.354554	5.929916	9.379376	3.250549	3.044780	6.261445	2.794770	3.862381	5.627874	1.528237	2.674176	1.328087	6.239038	3.942901	
1.184091	7.980196	3.452359	5.777600	8.227244	5.140683	4.768489	5.258645	9.018159	8.603634	4.198643	5.131274	5.291729	3.697857	0.914991	7.818253	0.917740	3.854698	0.628599	9.593231	7.458168	6.788435	8.391744	1.870593	6.282687	5.544176	9.827375	8.032671	5.757685	5.806247	0.045623	9.793178	2.460562	9.461749	7.581144	9.471377	3.290031	9.540581	7.582847	0.870488	4.919115	9.543858	7.938571	8.424040	7.344098	8.303959	0.705178	6.220135	7.209316	7.859238	
6.118057	9.227566	0.120489	3.861389	0.573014	9.014554	6.350464	9.210580	4.633656	4.417900	4.593943	5.486892	1.791803	3.523570	3.691967	3.239972	6.866330	8.557465	4.533756	1.588871	1.278584	4.525884	2.136770	5.201672	7.279487	0.049489	2.179810	4.520755	0.127459	7.344030	7.857977	8.986865	5.019187	2.402530	6.168633	6.339489	4.219757	8.700574	8.310510	3.604074	0.464183	6.042412	0.108990	7.808779	1.009565	2.737825	2.839340	9.508346	7.569711	6.979656	
7.860443	4.879241	3.329527	1.854204	0.618095	4.638194	3.109396	2.411861	1.184573	3.583016	5.990493	2.471809	0.072012	7.521436	4.624390	7.107939	2.872878	2.108819	5.070574	1.203876	9.341668	0.765691	0.108186	5.855953	1.164848	7.451861	5.995545	1.154032	3.883749	4.504030	3.738140	9.413947	0.161432	7.747919	5.119418	1.317851	3.966916	8.984958	0.999061	5.666326	8.252434	8.113418	1.071439	6.018446	9.763542	9.977843	9.241434	1.049610	1.655055	7.791393	
