0.526458	0.412470	6.620693	8.415001	3.159170	7.442053	9.464466	6.852592	7.238765	
3.497582	6.284537	0.610476	7.450608	8.712640	9.377389	5.518762	7.388319	7.929433	
5.087928	4.223537	8.993218	5.051712	3.089120	2.185854	4.526525	2.788440	6.539254	
6.690184	2.674279	3.982746	1.985579	6.658028	1.272431	3.622123	3.292649	6.073782	
8.654901	8.917303	7.045444	2.290584	4.066347	7.971451	4.838800	9.648498	0.853428	
4.007873	3.308081	4.721020	5.858770	8.419961	2.005695	5.584714	0.255649	8.171261	
5.666655	2.094940	1.263988	4.074051	6.761123	5.574516	2.598570	4.980069	7.127677	
6.124552	3.703065	2.801888	9.128978	1.090298	3.743510	1.820121	1.739353	3.109444	
2.803260	3.239307	2.606894	1.662937	1.790359	0.219259	1.619594	0.595773	0.569924	

40.671445
