3.199615	3.166397	3.369888	2.254263	4.614537	5.409599	6.290874	7.702237	8.596166	9.744659	1.030709	1.974077	0.967062	1.080457	3.330471	6.727999	4.045306	5.932195	4.494968	
0.543658	0.617424	4.139977	7.701161	7.116201	2.311086	5.379039	3.934831	6.657113	5.014130	8.164862	1.684387	4.004693	3.175723	6.748001	4.144078	6.057027	0.918173	1.611728	
4.625741	8.916797	7.404271	2.464254	4.099102	6.688781	7.645470	6.821688	3.817354	3.013797	0.075455	0.179460	9.035637	8.836788	5.793446	5.843611	0.911966	1.053851	7.840611	
0.646810	1.033916	7.230370	3.952745	6.585126	9.088995	0.311611	3.186101	0.622473	9.196286	5.236735	5.512819	1.767132	7.618259	0.872136	8.983677	0.342213	9.676408	1.774334	
0.078398	8.670579	9.191812	0.125027	5.813288	4.404176	9.600711	9.979165	3.126265	0.957187	5.616080	3.784071	9.573667	4.176613	2.752552	4.714895	8.796331	2.179315	5.549828	
1.136832	3.783885	9.390250	3.983848	8.588654	0.444893	6.344929	3.330557	2.971307	1.338717	4.413346	2.330219	0.498419	6.163834	5.612239	0.018935	1.363651	0.219597	8.241988	
1.767069	8.963038	8.888222	6.177452	9.645030	5.161806	0.414012	9.561745	9.790384	3.849719	1.929607	6.327139	5.374155	7.929796	3.742988	5.404846	5.987446	5.947578	8.644056	
8.997310	4.041627	7.177430	8.887702	3.614279	8.060480	8.740278	9.175896	1.505099	6.314142	4.937626	2.248831	3.568757	5.800187	0.773728	4.811655	9.588472	8.450288	0.166435	
0.433766	3.524299	1.034957	9.244236	5.554110	7.705419	0.095626	2.280738	8.722874	8.428193	0.266341	2.016707	1.259321	8.825692	7.810866	9.908264	9.161195	2.775900	6.230379	
9.988917	4.157722	3.401372	6.953592	8.188794	5.719664	9.316173	8.563954	8.982540	8.247642	6.429825	9.665512	9.722738	3.081542	3.578121	1.790721	9.294793	1.584235	0.492509	
7.503344	9.727979	0.890325	9.682966	9.757082	9.850588	5.233224	7.781988	6.518530	9.497485	5.236879	0.245162	7.385334	0.089894	7.708482	1.908742	6.686287	1.690089	8.390465	
1.813788	2.535010	4.353942	0.211163	8.655155	8.336986	7.625066	2.465635	5.836127	7.649011	9.171978	9.373713	2.778425	1.935719	2.898152	1.594245	3.011482	9.167750	3.025875	
4.336450	4.679397	9.161662	6.035867	4.216853	0.148652	8.676516	1.854216	7.436727	5.011642	4.618121	8.556948	5.334309	5.584992	7.717773	4.440237	5.422272	0.697351	8.700993	
1.529061	2.982663	3.600911	5.299208	1.232576	7.371206	4.936227	0.726071	1.805803	4.198052	3.344558	0.257495	9.455547	0.108520	9.319291	5.506561	0.176806	3.454231	5.131961	
4.638118	2.171725	4.638939	6.767215	5.686823	1.463007	8.762549	3.889608	2.067517	9.606010	9.058852	3.973991	0.486681	3.029605	1.944978	3.368969	8.374189	9.014425	0.447453	
1.479474	8.722572	1.370751	8.644785	5.317070	4.209586	9.292945	0.199287	0.304142	5.740441	5.886182	0.263967	9.066058	2.293666	9.545899	6.535846	3.685312	2.782126	2.149567	
4.290322	3.084601	3.036736	5.722305	7.766765	2.039362	2.433264	4.785697	6.582217	9.533994	3.763683	1.271510	2.488675	0.490151	6.200825	9.911225	3.814876	8.688372	7.021772	
2.421870	2.628575	3.773893	6.583689	4.009487	8.431044	3.980920	3.050484	4.883811	7.682221	0.689246	9.004621	7.482138	4.595375	9.918153	6.984330	6.124288	4.258895	6.771956	
1.268573	0.330370	1.165875	8.664054	3.428561	5.908690	5.245109	5.344283	9.252881	1.953264	9.198543	7.479998	1.893581	2.686739	0.226373	7.869761	4.659509	9.460469	5.678293	

95.138235
