8.283128	8.599180	9.143508	0.996137	7.904526	1.476006	8.933151	0.563229	
3.524518	9.410702	4.310892	6.311975	8.632872	5.994686	8.976262	8.569274	
4.560840	5.564029	7.434129	9.473580	4.847789	6.673053	3.759119	9.568657	
0.682852	0.782080	8.863348	6.201853	7.052981	6.986454	8.337564	6.849401	
2.517997	5.892083	6.945718	2.271292	6.740506	0.532513	5.031705	2.339444	
8.790524	1.586721	0.267130	8.566943	5.002951	1.873718	2.249934	8.976862	
4.743702	5.788609	7.298186	0.243747	5.933469	8.322411	8.127032	9.384201	
8.824220	5.172122	7.965981	6.770408	7.255310	6.502628	5.726301	6.480119	

46.824594
