5.693893	6.661850	7.878556	8.290143	6.473733	1.450037	1.898185	6.950670	8.360524	5.502926	1.140417	
8.778251	9.347432	3.421961	2.471183	2.659706	0.444397	6.499284	8.680810	1.395266	4.792861	1.936162	
7.863666	5.094095	4.747274	9.899892	9.961583	7.966506	0.386071	7.160999	4.003327	0.149256	3.973345	
2.733477	3.582251	4.391620	8.517472	8.443068	3.328225	8.137469	3.857073	7.204830	3.424157	8.301405	
5.051897	4.320035	3.896281	4.239573	6.340570	3.766675	9.831614	7.649412	6.027096	4.686132	5.216665	
6.812669	3.133720	7.569132	6.661873	0.020656	5.956202	2.964434	4.893840	5.091790	8.279936	5.752635	
3.594326	3.877914	4.560984	5.524887	1.116570	2.543493	2.267498	4.641627	4.327972	8.906003	7.459438	
9.701472	1.311844	9.975353	1.926301	6.970355	8.229041	5.763584	3.525716	6.330890	7.079427	9.922545	
1.290435	0.981439	4.181183	3.841236	8.187383	3.315138	0.595657	8.616480	5.398861	4.194555	1.563107	
1.604117	4.909397	8.386189	9.847857	4.204870	7.913333	9.098461	3.162627	4.275757	0.783882	0.123809	
8.165985	7.769495	6.813225	4.539439	1.924148	2.783962	8.128218	0.951908	5.535079	4.035645	0.125041	

56.690578
