3.938522	3.260236	5.537366	2.836057	3.596984	3.686473	0.534840	5.541461	5.674502	6.579961	9.576309	0.061691	3.865481	4.871654	
3.468197	0.083906	6.483642	5.102551	3.468938	2.199602	9.041967	9.591748	9.670369	5.422398	3.540638	9.113660	7.157351	0.625906	
2.651664	1.722100	2.062512	4.725055	5.668368	1.350059	8.933823	4.058147	8.471355	4.194386	9.838178	9.961265	5.553846	2.145768	
0.898958	1.641447	4.155902	5.765312	9.228394	7.907425	8.669341	8.048975	3.589485	7.944646	9.722928	8.002816	5.160718	2.677863	
8.669170	7.005239	4.840932	5.204960	4.242074	3.077867	1.941063	4.931613	7.928382	7.745894	0.585551	9.720259	8.650690	3.332919	
9.684784	5.441273	7.303375	7.222564	5.664629	3.131891	9.248788	5.566158	3.126284	6.142607	1.717782	5.330293	9.977539	9.064250	
6.843368	6.734901	0.986952	9.294628	1.180514	0.918510	2.300741	2.047751	4.213929	5.446033	2.984911	0.015846	4.861959	8.895247	
8.272612	0.897352	2.750582	9.973814	3.774906	0.148830	9.092912	1.309865	9.801631	7.280329	9.081380	5.942020	1.267728	0.592428	
6.983745	9.856319	8.788436	0.713981	3.687573	9.234924	5.491849	0.144255	0.977158	9.950880	3.735994	6.282456	2.845483	1.227720	
1.879342	6.777890	4.614350	6.671169	7.182895	4.246250	1.459146	9.716001	8.558078	1.287775	6.949076	8.621408	8.435304	2.773016	
5.393881	4.045390	2.996077	4.627949	5.374109	6.228177	7.580756	3.397838	7.975064	4.359873	6.205976	4.913416	0.519177	1.168797	
3.114491	7.745027	2.155127	5.332909	1.783851	0.033859	2.985140	3.583797	6.228799	9.919152	7.376706	3.273022	0.208627	4.258298	
9.704248	2.511552	9.918131	3.525715	9.247237	8.369635	0.717610	6.113508	3.372989	3.851274	2.977246	5.756455	1.761032	2.855185	
8.311688	4.115482	2.428450	6.302391	3.013786	3.682827	5.410978	3.541276	7.607510	8.746226	9.119378	2.590358	3.891183	5.008814	

70.896273
