1.982049	4.049205	0.530302	2.263007	9.165984	0.253783	3.631482	5.072054	9.132760	0.051596	4.544058	1.183669	7.951071	9.428044	9.488027	0.836772	2.691549	7.439844	1.424324	3.639133	4.096656	7.947720	2.396083	3.761159	2.436542	3.561239	1.395698	4.569130	3.895188	2.457918	1.749227	
2.090642	7.485887	9.336169	9.506241	2.698257	2.203818	6.689730	4.461483	2.280091	5.058005	0.060888	5.464855	4.739289	4.134763	2.738780	2.042945	8.650412	8.524892	6.141968	8.803879	2.142881	4.554300	9.491662	5.769206	3.694267	3.360576	9.458716	6.520815	7.023383	2.265891	3.674854	
9.961465	5.144491	1.205911	3.075340	5.404037	0.113073	0.133688	5.297178	3.540258	0.666196	9.196267	0.568105	1.315088	7.057287	7.786482	6.108395	9.587727	5.850869	9.632726	1.771334	6.651688	2.714481	4.477897	9.341342	4.495349	8.786953	1.822419	3.798475	9.769618	6.917332	8.726687	
1.269071	7.127580	1.783895	5.641463	0.136018	0.941736	6.173554	9.858097	3.214722	5.065592	9.295704	9.503133	8.340189	8.131731	3.919725	1.411585	8.986792	7.593402	8.111199	0.457279	0.259024	9.690386	9.183103	5.192630	4.263245	2.711221	3.069619	7.715456	7.103440	8.095936	5.988595	
0.286353	5.864172	9.593390	8.496889	2.275963	1.201375	3.164855	2.991811	8.489370	7.423124	2.343729	8.368771	1.849711	0.144064	5.071794	0.238640	3.636494	1.053075	1.099401	8.574036	4.678142	0.160248	8.306211	1.646361	1.178479	5.297278	9.884415	5.150350	3.065089	8.641643	4.529485	
4.899143	3.924064	1.655022	3.531160	3.927476	4.309547	9.964561	6.552206	5.688499	4.401278	0.374318	1.533549	8.883863	2.362541	7.284317	9.671338	9.305350	6.392942	8.817032	1.224041	3.851470	3.082489	2.400534	6.487692	3.225845	6.958737	8.740429	5.861203	3.330037	0.819346	1.771844	
0.421851	5.813096	6.838597	1.843114	3.231506	5.587149	4.237489	3.278811	1.251067	9.945166	3.167476	0.296197	4.427037	6.603173	0.789689	3.256569	4.531417	6.259941	2.506155	2.204265	4.192930	5.621462	8.267804	8.691724	5.474852	3.622508	1.842634	3.986130	1.337659	8.374366	2.298460	
0.038071	9.154681	9.416661	5.354592	1.407885	7.413456	3.179201	6.265187	4.973918	0.566150	3.684058	2.309361	7.796817	7.604587	8.710185	6.611225	4.249450	0.230255	3.891500	6.744094	3.663379	4.277837	5.509534	9.061504	2.140701	9.677105	7.622540	0.477184	7.908258	0.753839	7.569067	
2.643882	8.502550	3.116099	4.425952	6.487445	7.499305	4.757444	5.294737	8.733290	5.652189	1.818902	0.972161	2.782669	6.650876	9.712368	4.432905	5.563646	9.481475	6.611792	4.302388	1.633121	4.454150	3.118391	8.676147	2.776837	6.372879	7.164773	7.829639	7.080952	7.859622	3.970079	
4.827103	4.841786	4.804089	1.255286	4.766038	7.782120	1.888782	4.194861	1.534040	7.227942	6.690029	1.624992	4.602683	1.418461	2.407068	3.372089	9.376299	6.163092	8.757560	0.705113	6.746367	7.244891	6.965172	2.766187	1.270500	0.263297	2.202621	2.709320	3.748302	0.206758	6.179089	
