1.682417	6.972531	6.202346	6.239556	8.625033	8.352530	1.612012	2.295938	2.966604	0.554133	0.258156	0.657803	6.812323	1.730246	3.268493	2.411369	1.205513	2.789100	6.105938	9.622834	5.477525	5.010216	5.813933	5.563420	2.675607	4.906054	
8.246204	3.344992	1.893605	0.837984	3.601512	6.627018	9.107420	1.954975	5.534783	9.028153	3.090354	6.964974	8.828675	4.548875	1.662635	9.588753	2.126862	3.839496	9.630398	1.315506	6.736492	9.407868	3.958471	6.701641	8.009718	2.359290	
5.960774	7.270487	8.772806	3.076436	1.837572	5.274996	9.797310	4.478847	5.558419	5.790523	2.752297	6.040782	3.392145	2.541490	7.645121	8.989804	3.475297	3.891285	4.400066	7.686688	7.990210	0.731733	2.484815	4.965890	2.466513	0.761073	
7.083227	0.931921	3.197573	4.669284	1.915872	5.727014	0.986732	7.648555	1.903676	2.485355	4.102534	1.183886	4.926135	8.492603	9.094802	8.094542	0.191870	2.590503	7.453276	4.252200	2.320953	2.865595	6.135784	1.949385	3.853989	5.780410	
5.987551	7.609821	9.959118	5.322877	6.188081	9.181668	7.871944	5.284260	6.449634	5.880144	3.312629	1.611142	7.432017	4.474167	2.208524	7.778875	4.243198	9.657980	5.334707	9.682097	8.132015	6.984558	5.019466	7.848758	4.288617	8.691300	
5.969051	1.923976	1.212087	4.038463	0.373605	4.506726	0.509242	5.331766	9.015607	0.469921	3.983369	7.976704	5.305886	5.191588	0.512889	2.735636	6.663665	9.548259	3.496563	6.525200	3.283428	0.816072	9.742601	2.993310	5.334624	0.332943	
6.903504	0.821150	6.466697	0.925807	2.991761	0.715755	1.312369	3.302739	4.491454	7.360875	0.029432	8.490525	1.841369	5.572905	2.350808	6.756862	3.444407	8.321369	8.291226	7.564991	2.393510	3.050097	3.922690	4.398147	8.961292	7.345759	
4.627943	5.534894	1.591010	8.478231	9.400140	9.989868	8.378756	0.222057	1.372613	6.028972	9.419737	1.868448	2.572055	0.600792	4.575350	6.202458	0.680868	3.442153	9.086247	9.669208	4.420400	9.393810	2.966012	4.247140	1.913950	4.456298	
8.028884	8.541948	7.012470	4.499247	9.292974	9.308064	3.773359	3.304903	1.155804	5.679322	0.504637	3.162884	8.864790	5.433242	2.281700	2.360374	3.515120	9.018145	1.471788	3.593654	2.386213	4.773206	6.473333	7.791325	2.879061	7.977884	
5.820932	7.211988	2.090425	6.930448	0.039506	8.745319	2.088997	7.653180	9.375933	2.716354	8.895413	6.479019	9.676468	3.691881	8.982335	8.209347	7.882721	0.283327	8.651088	0.603511	3.771246	4.040756	8.995445	3.912845	8.255268	7.862233	
2.668107	2.630099	6.487949	7.384335	0.148279	0.370939	4.659939	8.722645	5.281169	3.610044	3.075045	9.730869	3.227541	5.111939	1.859596	7.376670	5.116784	7.768696	7.826446	7.918646	7.021798	6.050034	4.837428	1.146667	7.551389	0.440060	
2.758320	5.822522	9.714584	9.632653	3.706594	8.300207	9.990588	1.155966	8.789165	4.965671	9.440222	8.605460	8.375221	4.705550	4.436650	4.418308	6.956506	1.592112	5.235443	0.699880	4.919633	0.764095	0.347455	3.237994	6.785985	1.581729	
8.722077	6.452139	8.435998	0.947371	9.832232	4.309622	2.141364	6.811841	0.146782	7.385595	7.278810	3.314023	9.413524	3.071835	4.155928	1.501644	6.052144	4.957438	8.298813	0.452280	8.748742	8.222693	5.294388	1.675334	3.544603	2.332348	
8.302236	2.813085	9.154010	5.940847	6.150334	8.000598	4.849835	0.745301	4.841810	6.405853	9.953527	6.238360	6.276416	7.591957	8.130888	6.951608	8.768341	3.971936	0.205948	7.764652	1.913453	9.093085	7.934077	4.245161	8.650804	3.448027	
4.484882	5.253433	5.774093	7.825449	7.178360	7.592206	5.659538	9.524031	7.391640	2.002705	8.356673	0.287704	5.729003	4.478973	8.561458	6.690364	6.638042	8.131792	4.311201	6.307569	1.572450	2.609646	7.823462	2.609945	3.791064	2.416996	
2.337159	1.689807	0.196859	3.832867	7.518117	9.729051	2.143447	0.784900	6.887792	0.899087	8.992642	7.228284	0.778588	6.439238	6.463114	8.818368	4.057082	7.721695	4.069990	9.885206	6.174905	1.311276	1.761016	1.123067	0.929759	3.793610	
